county name,state,county_population_increased_2015_2016,year,female_total_population,female_age_under_5_pct,female_age_5_to_9_pct,female_age_10_to_14_pct,female_age_15_to_19_pct,female_age_20_to_24_pct,female_age_25_to_29_pct,female_age_30_to_34_pct,female_age_35_to_39_pct,female_age_40_to_44_pct,female_age_45_to_49_pct,female_age_50_to_54_pct,female_age_55_to_59_pct,female_age_60_to_64_pct,female_age_65_to_69_pct,female_age_70_to_74_pct,female_age_75_to_79_pct,female_age_80_to_84_pct,female_age_85_and_over_pct,male_total_population,male_age_under_5_pct,male_age_5_to_9_pct,male_age_10_to_14_pct,male_age_15_to_19_pct,male_age_20_to_24_pct,male_age_25_to_29_pct,male_age_30_to_34_pct,male_age_35_to_39_pct,male_age_40_to_44_pct,male_age_45_to_49_pct,male_age_50_to_54_pct,male_age_55_to_59_pct,male_age_60_to_64_pct,male_age_65_to_69_pct,male_age_70_to_74_pct,male_age_75_to_79_pct,male_age_80_to_84_pct,male_age_85_and_over_pct
Coconino County,Arizona,TRUE,2013,68528,5.7,6.9,4.9,11.8,12.2,6.3,6.5,5.4,5.2,5.5,6.9,6.7,5.1,3.1,3.6,1.6,1.5,1.2,68011,6.3,6.5,5.7,9.4,12.5,8,7.2,5.7,5.9,5.3,5.4,5.5,6.2,3.5,3.2,1.6,1.6,0.5
Maricopa County,Arizona,TRUE,2013,2025621,6.6,7.2,6.7,6.6,6.9,6.9,6.9,6.3,7,6.4,6.6,5.8,5.6,4.4,3.7,2.6,1.8,2.1,1983791,7,7.5,7.3,7.1,7.4,7.4,7.2,6.6,7,6.5,6.5,5.5,5,4.3,2.9,2.1,1.4,1.4
Mohave County,Arizona,TRUE,2013,99861,4,4.8,5.9,5.6,4.5,4.4,4.6,4.7,5.4,5.5,7.2,7.9,8.6,8.9,7.2,5.3,3.1,2.3,103169,5.6,5,5.9,5,5.7,5.1,4.2,4.9,4.5,6.7,7.4,8.3,6.5,7.7,7.5,5.1,3.1,1.9
Navajo County,Arizona,TRUE,2013,53788,6.8,8.2,7.6,7.8,7.1,4.8,5.3,6,4.3,5.7,7,5.9,7.3,5.7,4.2,2.5,2.1,1.8,53534,7.9,8.2,8.1,6.9,6.7,6.8,6,6.6,4.7,5.8,6,6.5,5.3,5,4.2,3.4,1.4,0.7
Pima County,Arizona,TRUE,2013,505038,5.7,5.9,6.1,6.7,8.5,5.7,6.1,5.5,5.8,5.7,6.5,6.9,6.2,5.6,4.5,3.5,2.5,2.4,491516,6.2,6.4,6.4,7.2,9.4,6.3,6.4,5.7,6.1,5.8,6.4,6.3,5.8,5,4.1,3.1,2.1,1.4
Pinal County,Arizona,TRUE,2013,186496,6.7,7.8,7.3,6.3,4.8,5.7,7.1,6.7,5.8,5.1,5.7,6.4,6.6,6.8,4.8,2.9,2.1,1.4,202854,6.3,6.6,7.9,6.4,6.3,6.3,7.4,7.2,7.3,5.8,5.9,5.3,5.2,5.1,5.2,3.1,1.6,1.1
Yavapai County,Arizona,TRUE,2013,109700,3.2,4.5,5.3,5.1,4.8,4.1,4.4,4.6,4.3,5.5,7,10.2,9.2,9.8,6.3,4,3.3,4.3,105433,5.3,4.9,5.5,5.5,4.9,4.9,4.6,4.8,4.6,5.3,6.6,8.7,8,8.8,6.8,6.1,2.5,2
Yuma County,Arizona,TRUE,2013,97754,7.7,8.1,6.8,7.1,7.3,6.4,5.9,5.5,5.6,5.9,5.8,5.8,4.3,5.2,4.6,3.3,2.6,2.1,103447,7.7,6.6,7.8,8,9.9,7.4,6.3,5.2,5.3,5.5,5.4,4.5,4.7,3.9,4.3,4,2.4,1.1
Benton County,Arkansas,TRUE,2013,119475,7.2,7.8,7.3,6.2,5.6,6.9,7.2,7.6,6.7,6.5,6.2,5.1,5.3,4.2,3.6,2.3,2.5,1.6,117822,7.5,8.2,8.2,7,6.1,6.4,7.9,5.8,8.4,6.3,6.5,5.9,4.4,3.3,3.3,1.9,1.7,1.1
Craighead County,Arkansas,TRUE,2013,50252,5.1,6.7,5.5,8.2,7.5,7.9,6,6.4,7.2,6.4,6.6,4.5,7.6,3.4,4.5,2.4,1.9,2.2,51236,8.5,10.2,6.2,5.9,10.2,7.2,6.6,6.1,5.6,6,6.3,5.7,4.7,3.4,3.4,2.1,1,1
Faulkner County,Arkansas,TRUE,2013,61470,6.2,6.7,6,7.5,12.1,8.7,6.6,6.1,6.6,5.9,5.4,4.9,5,3,3.8,1.9,1.9,1.6,58110,6.4,6.3,9.1,7.6,10.7,7.7,8,7.8,5.2,5.5,6.1,5.8,3.6,4,2.5,1.5,1.3,0.9
Garland County,Arkansas,TRUE,2013,48956,4.2,6,4.5,4.9,5.3,5.3,6,6.6,4.5,6.2,7.3,7.5,7.4,7.6,5.6,4,4.1,2.9,48217,6.6,6,6.3,7,4.8,6.5,4.8,5.9,4.9,6.5,6.5,7.1,6.9,5.1,6.5,3.6,2.8,2.2
Jefferson County,Arkansas,FALSE,2013,37123,5.9,6.5,6,6.9,5.6,7.4,5.8,4.6,6.9,6.4,7.3,8.5,5.6,4.6,4.3,2.9,1.3,3.6,36068,6.6,5.9,8,7.6,8,6.7,6.2,3.4,8.5,6.2,7,7.1,5.9,4.1,3.9,2.6,1,1.2
Lonoke County,Arkansas,TRUE,2013,35474,5.8,6.4,7.9,7.4,5.9,5.9,7.6,6.6,8.1,6.2,7.1,7.4,3.9,5.3,2.5,2.6,1.4,1.9,35279,6.9,9.6,7.4,7.6,6.4,6.6,6.9,5.9,7.1,6.4,7.5,6.8,4,4,2.8,2.6,0.4,1
Pulaski County,Arkansas,TRUE,2013,202829,6.4,6,6.5,5.4,6.5,7.9,7.7,5.5,7.4,6.1,7.2,7,5.8,4.7,3.1,2.3,2.1,2.3,188455,7.7,6.6,7,6.4,7.1,8,8.1,6.4,5.7,6.2,7,6.7,5.7,4.3,2.7,1.5,1.4,1.3
Saline County,Arkansas,TRUE,2013,56793,5.9,7.4,5.4,6,5.5,6.2,6.9,7.2,6,6.3,6.8,6.2,6,5.6,5.3,2.6,3.2,1.6,57611,5.8,7.4,8.5,6.6,5.1,7.2,6.3,6.3,6.6,7.2,6.4,6,4.6,5.9,4,3,1.8,1.3
Sebastian County,Arkansas,TRUE,2013,65418,7.8,8.5,5.5,5.4,6.8,6.1,6.6,4.2,6.9,8.3,6.5,5.7,6.8,4.7,3.1,3.1,3,1.1,61924,6.6,7.3,7.6,5.7,8.3,6.7,8,4.7,6.3,6.8,6.7,6.9,5.9,4.7,3,2.1,1.5,1
Washington County,Arkansas,TRUE,2013,107865,6.9,7.2,6.9,6.9,10.8,7.5,7.3,6.6,6.5,5.4,5.8,5.7,4.8,3.7,2.9,1.9,1.4,1.9,108545,7.5,7.9,6.9,8.5,11.2,7.9,7,5.9,7.6,5.4,6.2,5,4.1,3.9,1.6,1.7,0.6,0.9
White County,Arkansas,TRUE,2013,40112,5.5,6.8,6.3,6.2,10,6.5,6,4.6,6.6,5.9,7.1,5.4,5.7,4.5,5.2,2.8,2.1,2.8,38371,6,8.3,6.1,9,7.9,7,5.8,4.7,7.4,6.6,6.5,6.7,4.5,4.9,3.5,2,2,1.2
Alameda County,California,TRUE,2013,804579,5.9,5.9,5.7,5.8,6.8,7.5,7.9,7.5,7.3,6.9,7.1,6.4,5.8,4.4,3,2.4,1.8,2,774312,6.4,6.7,6,6.3,7,7.8,8,6.9,8.1,7.2,7.1,6.4,5.4,3.9,2.6,1.7,1.2,1.4
Butte County,California,TRUE,2013,112516,5.3,5.2,5.8,7.1,11.7,5.9,5.4,5.8,4.6,4.9,6.6,7.6,6.1,5.9,3.1,3.1,2.4,3.6,109574,5.6,6.1,5.6,7,12.8,6.3,6.4,5.1,5.3,5.7,6,6.2,6.6,6.2,2.6,2.7,1.7,1.9
Contra Costa County,California,TRUE,2013,559749,5.7,6.7,6.4,6.3,5.9,5.8,6.4,6.4,7.2,7.4,7.7,6.8,6.3,4.8,3.6,2.5,1.8,2.5,534456,6.2,7.6,6.8,7.1,6.5,6.2,6.5,7,6.6,7.3,7.6,7.2,5.3,4.4,3.1,2,1.4,1.4
El Dorado County,California,TRUE,2013,90830,3.9,6.7,5.8,7.7,4.6,4.4,4.8,5.1,6.5,7.6,8.3,9.4,7,6.6,4.2,2.6,2.5,2.3,90907,4.9,6.8,6.2,6.6,5.6,5.2,5.2,5.9,5.1,6.8,8.1,9,7.5,6.6,4.5,2.7,1.9,1.3
Fresno County,California,TRUE,2013,477899,8.2,8.4,7.3,7.5,8.1,7.3,6.9,6.4,5.5,5.8,6.1,5.6,4.6,3.7,2.7,1.7,1.8,2.2,477373,8.4,8.6,7.9,8,8.5,7.9,7.2,5.8,6.4,5.9,6,5.2,4.5,3.1,2.6,1.4,1.3,1.2
Humboldt County,California,TRUE,2013,67037,5.4,5.7,5,6.1,10.5,6.1,7.1,5.8,5.3,4.6,7,8.2,7.6,4.8,3.5,3,2.4,2.1,67456,5.2,5.8,5.1,7.2,9,7.1,7.6,7.8,5.6,5.3,6.2,8.7,5.8,5.8,2.7,3,0.8,1.4
Imperial County,California,TRUE,2013,86328,8,8.3,7.5,7.7,7.8,6.4,6.5,7.1,4.5,6.2,6.2,5.3,5.6,3.7,3.6,2.7,1.7,1.4,90256,8.4,8.6,7,8.3,8.3,8.2,7.1,7.1,5.3,6.8,5.7,4.7,4.7,2.4,2.9,2.3,1.7,0.5
Kern County,California,TRUE,2013,420289,8.5,8.7,7.9,7.5,7.8,7.2,6.8,6.1,6.2,6,6.3,5.1,4.9,3.6,2.6,2,1.3,1.4,443835,8.3,8.6,7.8,8,8.6,8.2,7.5,6.8,6,6.1,6.1,5.1,4.5,3.2,2.3,1.5,1,0.5
Kings County,California,FALSE,2013,66916,9,8.7,7.8,8.4,7.1,7.3,7,7.3,4.7,5.8,6.6,5.7,3.7,3.1,2.8,1.2,1.5,2.5,84044,6.8,6.7,7.9,6.6,9.3,9.1,8.1,7.8,7.7,7.4,7.2,4.3,4.2,2,2.3,1,1,0.7
Lake County,California,FALSE,2013,32153,5.8,4.4,6.2,6,4.3,4.9,5.4,4,6.2,6.2,7.8,9.7,8.2,8.1,4.1,3.8,3.7,1.3,31707,6.6,5.8,4.7,7.2,6.2,5.1,6,6.8,2.8,6.2,7.4,7.2,9.4,6.7,4.8,3,1.6,2.4
Los Angeles County,California,FALSE,2013,5075277,6.2,6.2,6,6.7,7.6,7.6,7.3,6.8,7.1,6.9,6.8,6.2,5.3,4.1,3,2.3,1.8,2.2,4941791,6.6,6.4,6.7,7.2,8.1,8.3,7.7,7,7.2,7,6.8,6,4.7,3.6,2.4,1.7,1.3,1.3
Madera County,California,FALSE,2013,77437,7.4,7.8,7,6.8,7.4,6.7,7.2,7.2,5.9,6.3,6.6,5.9,5.2,4.6,2.4,2.3,1.6,1.7,74952,8.1,9,7.5,8.3,7,6.5,6.9,5.7,6.6,5.6,5.9,5.3,5.7,4.2,2.9,2.5,1.7,0.8
Marin County,California,FALSE,2013,130270,4.2,5.1,6.6,4.8,4,3.7,4.7,6.7,6.6,8.1,8.1,8.2,8.3,6.8,4.8,3.4,2.3,3.6,128095,5.9,5.8,6.9,6.5,4.1,4.8,4.9,5.5,8,8.1,7.7,7.7,7.1,6.3,4.2,2.7,1.8,1.8
Mendocino County,California,FALSE,2013,43281,4.9,5.5,5.8,5.5,4.7,6.2,5.6,6.9,4.6,5.9,7,7.8,9.7,8.1,3.7,3,2.7,2.6,43911,5.7,7,6.3,7.9,5.2,4.9,5.3,8.3,4.4,5.8,6.4,7.8,8.1,7,4,3.1,1.2,1.5
Merced County,California,TRUE,2013,129560,8,7.4,9.2,8.6,7.8,6.8,6.7,6.1,6.8,5.6,6,5.8,3.9,3.8,2.5,2.1,1.7,1.3,133668,8.4,8.7,8.7,9.2,8.4,7.4,6.7,6.1,6.3,6.2,5.5,5.6,3.7,2.9,2.5,1.7,0.9,1.2
Monterey County,California,TRUE,2013,208634,7.7,7.5,7.4,7,7.4,7.3,7.1,6.2,6.2,5.7,6.3,5.9,5.2,4.4,2.4,2.2,2.3,1.8,220192,7.8,7.2,7.5,7.2,8.1,7.8,7.8,7.9,5.6,6.3,6.3,5,5.4,3.7,2.2,1.4,1.4,1.4
Napa County,California,FALSE,2013,70512,5.3,5.4,6.8,6.5,6.3,6,6.1,5.4,7,6.7,6.7,7.5,6.5,5.7,4,2.1,2.2,3.9,69814,5.9,6.4,6.6,7,6.8,6.2,6.7,5.9,6.4,6.7,7.3,7.1,5.9,4.6,4,2.9,1.1,2.6
Nevada County,California,TRUE,2013,49772,4.3,4.9,5.2,6.6,3.3,3.9,4.2,4.2,6.5,5.4,8.3,9.3,9.5,7.8,6.5,5,1.9,3.2,48428,3.5,5.6,5.5,6.5,5.4,4.4,5.9,4,5.8,6.8,7.1,9.4,8.8,7.1,5.7,3.2,2.7,2.4
Orange County,California,TRUE,2013,1572785,5.9,5.9,6.7,6.7,7.2,6.8,6.6,6.5,7.3,7.3,7.3,6.4,5.3,4.3,3.2,2.3,2.1,2.3,1541578,6.3,6.8,6.8,7.1,7.6,7.5,7,6.5,7.3,7.3,7.3,6.3,5,3.8,2.9,1.9,1.5,1.3
Placer County,California,TRUE,2013,187357,5.6,5.4,7.3,6.2,5.5,5,5.8,6.4,6.5,7,7.4,6.8,6.6,5.7,4.6,2.7,2.6,3,179952,5.6,7,7.4,7.1,6,5.3,5.9,6.3,6.1,7.2,7.7,7,5.7,5.4,3.8,3.1,1.9,1.6
Riverside County,California,TRUE,2013,1150347,6.8,7.4,7.4,7.6,7.3,6.5,6.6,6.3,6.6,6.4,6.5,5.6,5.1,4.3,3.3,2.6,1.7,2,1142160,7.1,7.7,7.8,8.1,7.8,6.9,6.7,6.4,6.4,6.6,6.6,5.4,4.8,3.9,2.8,2.2,1.6,1.2
Sacramento County,California,TRUE,2013,746319,6.4,6.7,6.4,6.3,7.1,7.5,7.2,6.1,6.8,6.5,7,6.5,5.6,4.4,3.1,2.4,1.8,2.2,715812,7.2,6.9,7.5,7,7.6,7.8,7.4,6.6,6.5,6.6,6.9,6.5,4.8,3.6,2.7,1.8,1.5,1.2
San Bernardino County,California,TRUE,2013,1048129,7.2,7.5,7.4,7.7,8,7.1,6.9,6.4,6.7,6.5,6.7,5.8,5,3.7,2.5,1.8,1.4,1.6,1040242,7.5,7.7,8.3,8.3,8.7,7.6,7,6.3,6.5,6.4,6.5,5.9,4.3,3.2,2.4,1.5,1,0.9
San Diego County,California,TRUE,2013,1596581,6.4,6,6.1,6.4,7.7,7.9,7.4,6.6,6.6,6.5,6.8,6.3,5.4,4.3,3,2.2,2,2.4,1614671,6.6,6.5,6.1,7,9.2,8.7,7.8,6.7,6.6,6.5,6.7,5.8,5,3.7,2.6,1.8,1.4,1.3
San Francisco County,California,TRUE,2013,411597,4.5,3.5,3.4,3.8,6.6,11.4,10.5,8,7.3,6.3,6.3,5.9,6.2,4.4,3.6,2.7,2.2,3.3,425845,4.6,3.6,3.2,3.6,6,11.5,11.2,8.9,8.2,7.6,7,6.5,5.8,4,2.9,2.4,1.4,1.5
San Joaquin County,California,TRUE,2013,353382,7.3,7.4,7.9,7.4,7.2,6.5,6.7,6.6,6.2,6.4,6.6,6,4.9,4.2,2.7,2.3,1.5,2,350997,7.7,8,8.5,8.1,7.9,6.9,6.7,7,5.8,6.4,6.5,6,4.5,3.8,2.3,1.6,1.1,1.3
San Luis Obispo County,California,TRUE,2013,135607,4.6,5.5,4.8,7.9,9.5,5.2,5.7,4.4,5.9,5.6,7,8.4,6.8,5.8,4.5,3.5,2.7,2.4,140836,4.9,5.5,4.2,7.9,12.7,5.7,6.3,4.9,6.6,6,6.7,7.1,6.3,5.9,3.2,2.4,1.8,1.9
San Mateo County,California,FALSE,2013,378943,6,5.6,6.2,5.1,5.2,6.4,7.3,7.5,7,7.2,7.5,6.8,6.3,4.8,3.6,2.7,2.1,2.8,368430,6.2,6.4,6.2,5.6,5.9,7.1,7.6,7.7,7.4,7.4,7.4,6.7,5.7,4.2,3.1,2.4,1.6,1.5
Santa Barbara County,California,TRUE,2013,216931,6.3,5.9,6.4,8.5,10.9,5.9,6.1,5.6,5.4,5.9,6.2,7,4.7,4.5,3.1,2.9,2,2.9,218766,6.7,5.7,6.8,8.6,11.6,7,7,6.2,5.6,5.9,6.1,5.3,5.4,3.9,2.9,2.2,1.3,1.8
Santa Clara County,California,TRUE,2013,925997,6.4,6.8,6.2,6,6.1,6.9,7.5,7.5,7.5,7.2,7.1,6.4,5,4.2,2.9,2.1,1.9,2.3,936044,6.6,7,6.4,6.3,6.7,7.7,7.9,7.6,7.7,7.4,7.3,6.2,4.7,3.6,2.5,1.8,1.4,1.3
Santa Cruz County,California,TRUE,2013,135928,6,5.7,5.4,7.8,10.9,5.1,5.9,5.6,6.3,6.3,6.9,7.4,6.8,4.7,3,2,1.7,2.5,133491,5.8,6.3,5.5,8.3,10.6,6.2,6.3,5.9,6.1,6.4,7,7.4,7,4.3,3,1.4,1.1,1.4
Shasta County,California,TRUE,2013,91086,5.4,7.1,4.5,5.7,6,5.8,5.5,5.4,5.4,5.9,7.7,7.8,7.2,6.1,5.4,3.7,1.8,3.6,87894,5.4,6.9,6.7,7,7.2,6.1,5.7,5.2,5.3,5.9,6.9,8,6.1,6.4,4,3.5,2.4,1.3
Solano County,California,TRUE,2013,212585,6,6.5,6.2,6.3,7.1,6.9,6.5,6.2,6.3,6.7,7.6,7,6.6,4.8,3.3,2.4,1.9,2,212203,6.3,6.4,7.1,6.7,8.1,7.6,6.9,5.8,6.5,6.8,7.4,7.3,5.5,4.2,2.9,1.7,1.2,1.4
Sonoma County,California,TRUE,2013,250842,5.1,5.1,6.1,6.2,6.1,6.2,6.3,5.7,6.3,6.6,7.5,8.2,7,6,3.7,3,2,2.9,244183,5.5,6.3,6.2,6.6,7.1,6.7,6.7,5.3,7.2,6.6,7.3,7.4,6.6,5.5,3.5,2.5,1.5,1.3
Stanislaus County,California,TRUE,2013,265167,7.2,6.8,8.1,7.4,7.3,6.8,6.5,6,6.8,6.3,6.6,5.9,5,4.7,2.6,2.3,1.8,1.9,260324,7.7,7.6,8.4,7.9,7.7,7.4,6.9,7,5.9,6.2,6.5,5.7,4.7,3.7,2.8,1.7,1.4,1
Sutter County,California,TRUE,2013,47779,6.1,7.8,8,7.1,6.4,6.5,5.7,5.3,7.9,8,5,6.4,4.6,5.7,3.1,2.3,2.1,2.3,47571,7.6,9.7,5.6,6.8,8.2,7,4.5,8.1,6.2,6.3,6.1,5.3,6,4.8,2.7,1.7,1.9,1.3
Tulare County,California,TRUE,2013,225708,8.7,8.8,8.7,7.9,7.4,7.1,6.9,5.1,6.7,5.9,6.1,5,4.6,3.9,2.3,1.8,1.6,1.5,228435,9.1,10,8.1,8.5,8,7.2,7.3,5.7,6.5,5.8,5.5,4.6,4.7,3.3,2.2,1.9,0.9,0.8
Ventura County,California,FALSE,2013,422830,6.1,7.1,6.3,7,7,6.1,6.2,6.1,6.7,7,7.4,7,5.6,4.4,3.2,2.5,1.8,2.5,416790,6.6,6.5,7.6,7.4,7.5,7,6.6,6,6.8,6.9,7.3,6.9,5,4,3,1.7,1.4,1.5
Yolo County,California,TRUE,2013,104377,5.5,6.7,5.1,9.7,14.2,6.3,6.5,5.8,5.7,5.7,6.1,5.3,5.3,3.6,2.8,2.4,1.4,2,100216,6.3,6.2,6,10.1,13.3,7.2,6.8,5.7,5.9,6.1,5.6,5.7,4.5,3.9,2.3,1.8,1.5,0.9
Yuba County,California,TRUE,2013,36229,8.7,8,6,5.2,7.5,8.8,6.8,6.7,7.4,4.7,6.7,6,6.4,3.8,3.1,2.7,1,0.6,37111,9,8.3,7.6,7.4,7.9,9.3,6.2,6.2,6,5.6,6.2,6.5,4.1,3.7,2.1,1.8,0.7,1.2
Adams County,Colorado,TRUE,2013,232460,7.6,7.6,8.1,6.1,6.8,7.7,8.1,7.5,6.7,6.2,6.6,5.3,5,3.9,2.2,1.9,1.4,1.1,236733,8,7,9.2,7,6.6,7.8,8.2,7.9,7.3,6.5,6.4,4.9,5,3.1,2.1,1.3,0.9,0.7
Arapahoe County,Colorado,TRUE,2013,307990,6.3,6.5,6.9,6,6.2,7.2,7.3,6.6,7.5,6.7,7.3,6.9,5.7,4.1,3,2.3,1.6,1.7,299080,6.8,7.1,7.8,6.7,6.5,7.5,7.7,6.6,7.9,6.6,7,6,5.8,3.9,2.6,1.6,1.3,0.7
Boulder County,Colorado,TRUE,2013,155404,5,6.1,5.7,8.3,9.6,6.1,6.2,6.7,6.5,6.8,7.1,7.6,5.3,4.3,3,2.2,1.4,2,154644,5.3,6.1,5.9,7.7,11.3,7.3,6.6,6.5,6.8,6.7,7,6.6,5.8,4,2.6,2,1.1,0.7
Denver County,Colorado,TRUE,2013,324847,6.9,5.9,5.4,4.8,7,11.3,10.3,7.9,6.6,5.5,5.5,5.6,5.2,4.1,2.4,2.1,1.6,2.1,324648,7.1,6.2,5.3,4.6,6.6,11.3,10.9,8.1,8.6,6.1,5.8,5.5,4.7,3.5,2.1,1.3,1.2,1
Douglas County,Colorado,TRUE,2013,153200,6.1,9,8.1,6.9,4.1,4.7,6.3,8.6,9,8,8,6.1,5.6,4,2.2,1.4,1,1.1,152763,7,9.1,9,7.8,4.4,4.2,5.8,8.3,8.1,8.5,7.7,5.2,6,3.9,2.1,1.2,0.8,0.7
El Paso County,Colorado,TRUE,2013,325730,6.8,7.3,6.6,6.6,7.6,7.5,7,6.4,6.1,6.6,7.2,6.4,5.5,4.1,2.8,2.4,1.7,1.4,329314,7.1,7,7.3,7.6,9.4,8.3,7.2,6,6.5,6.2,6.8,5.3,5.5,3.6,2.4,1.5,1.3,0.8
Jefferson County,Colorado,TRUE,2013,277003,5.1,6.3,5.5,5.4,6,6,6.3,6.3,6.4,7.3,8.7,8.2,7.1,5,3.7,2.7,1.8,2.3,274795,5.6,6.4,6.2,6.7,6.3,6.7,6.6,6.2,7.1,6.8,8.2,8.2,6.2,5.3,2.7,2,1.5,1.2
Larimer County,Colorado,TRUE,2013,157989,5.2,5.3,6.1,7.3,10.4,6.4,6.6,5.5,6.1,6,7,7.8,5.6,4.6,3.6,2.7,1.7,2.2,157999,5.8,6.1,5.9,7.9,10.4,7.4,7,6.3,6.2,5.6,6.4,7,6,4.6,2.8,2.3,1.4,0.9
Mesa County,Colorado,TRUE,2013,75696,6.9,4.8,7.2,7.2,6.4,5.9,7.4,3.9,6.4,5.2,7.1,7.2,6.2,5.4,4.1,4,2,2.6,71858,5.6,7.2,5.5,6.4,8.1,6.7,7.4,5.5,5.7,5.7,7.6,7.3,6.5,5.7,3,3.5,1.7,0.9
Pueblo County,Colorado,TRUE,2013,81855,6,6.2,6.6,6.2,6.4,6.2,6.3,5.4,6.2,6.1,6.9,7,6.5,5.7,3.7,2.8,1.8,4,79596,6.3,6.5,7.3,7.2,6.9,6.1,6.2,6.4,6.3,5.9,6.9,6.2,7.1,4.3,4.2,2.7,1.8,1.7
Weld County,Colorado,TRUE,2013,134606,7.3,9,6.4,7,7.4,6.9,6.9,6.8,6.3,6.2,6.5,6.1,5.5,3.8,2.9,2,1.1,1.8,135179,7.5,8.2,7.4,7.1,7.4,7.2,7.1,7.7,6.3,6.2,6.6,5.6,5.6,3.7,2.7,2.2,0.7,0.8
Fairfield County,Connecticut,FALSE,2013,481863,5.5,6.3,6.7,6.8,5.6,5.4,6,5.8,7.4,8,8,6.9,5.7,4.7,3.3,2.5,2.1,3.3,458041,6.1,7.4,7,7.5,6.1,6,6,6.2,7.1,7.9,7.9,6.9,5.5,4.1,3.1,1.9,1.8,1.6
Hartford County,Connecticut,FALSE,2013,463033,5.2,5.9,6,6.5,5.9,6.3,6.2,5.9,6.4,7.2,7.8,7.1,6.2,5,3.7,3,2.3,3.5,435239,5.7,6.3,6.7,7.1,6.9,6.8,6.6,6.1,6.4,7.3,7.7,6.9,6.1,4.4,3.3,2.3,1.6,1.7
Litchfield County,Connecticut,FALSE,2013,95732,4.3,5.4,6,5.4,4.8,4.5,5.1,5.1,6.8,8.1,9.1,8.4,7.8,5.8,4.3,2.9,2.4,3.6,91192,4.1,5.4,6.8,6.7,5.5,5.5,5.1,4.1,7.5,7.9,9,9.3,7.1,5.3,4.4,2.5,1.9,1.9
Middlesex County,Connecticut,FALSE,2013,85226,4.2,5.3,6.1,5.9,5.9,4.9,5.3,4.9,6.8,8.1,8.6,8.2,6.9,4.9,4.8,2.3,2.3,4.5,80336,4.9,5.8,6,6.8,6.6,5.8,4.9,5.6,6.2,8,9,9.5,5.4,5.4,4,2.6,2.1,1.6
New Haven County,Connecticut,FALSE,2013,446332,5,5.2,6.2,6.8,6.7,6.6,6.2,6,6.3,7.1,7.6,6.9,6.3,5,3.5,2.6,2.4,3.5,415955,5.6,6.3,6.4,7.4,7.2,6.9,6.4,5.4,7,7.3,7.7,6.8,6.1,4.6,3.2,2.3,1.4,1.9
New London County,Connecticut,FALSE,2013,137070,5.3,6.4,5.3,6.1,5.8,6.5,6,5.9,6.1,7.3,8.2,8.3,5.9,5.6,3.2,2.5,2.9,2.8,137080,5.1,5.8,6.1,7.3,8.9,6.7,5.7,5.9,6.3,7,7.8,8.2,5.8,4.5,3.4,2,1.8,1.7
Tolland County,Connecticut,FALSE,2013,74741,3.7,5.8,5.4,9.8,11.8,4.6,5,3.4,7.5,7.1,7.7,6.6,6.7,4.9,2.9,2.8,1.4,2.7,76636,4.1,5.3,6.3,10.3,11.4,6,5.1,4.1,7.3,7.3,7.8,7.2,5.5,4.8,2.7,2,1.5,1.4
Windham County,Connecticut,FALSE,2013,60200,4.6,7,6.2,6.9,6.7,5.8,5.8,6.3,6.2,7.5,7.9,7.4,5.8,4.1,3.8,2.3,2.7,2.8,57404,5.3,5.4,6.5,6.9,7.5,7.3,6.1,7,5.3,7.9,8.5,8.7,4.6,4.9,3,3.2,1.1,0.9
Kent County,Delaware,TRUE,2013,87668,5.9,5.9,7.1,6.7,7.3,6.5,6,7,5.2,6.4,7.7,6.5,6.1,4.6,4.3,3.4,1.8,1.5,81748,7.1,6.7,7.6,6.8,8.4,7.1,6.2,5.9,5.8,6.5,6.6,6,5.7,4.5,4,2.4,1.5,1.2
New Castle County,Delaware,TRUE,2013,284307,5.8,6.4,5.7,6.6,7.3,6.9,6.6,6.6,6.2,6.9,7.7,6.7,6,4.7,3.4,2.4,2.3,2.1,265377,6.5,6.4,6.6,6.8,8,7.3,6.9,6.1,6.7,7,7.5,6.3,6,4.2,2.8,1.9,1.5,1.4
Sussex County,Delaware,TRUE,2013,105985,5.4,5.2,5.2,4.6,5.2,5,5,5.5,4.5,6.5,7.3,7.3,8.7,8.2,6.4,3.7,2.5,3.7,100664,5.8,5.9,5.7,5,6.2,5.2,5.2,6.1,4.5,6.3,7.1,7.1,7.6,7.5,6.6,4.6,1.9,1.8
District of Columbia,District of Columbia,TRUE,2013,340302,5.9,4.9,3.2,5.6,9.5,12.4,10.5,7.2,6,5.5,5.6,5.8,5,4,2.9,2.4,1.6,2.1,306147,6.8,5.1,4,5.8,9.2,11.1,10.8,7.3,7.3,6.3,6.3,5.4,4.9,3.3,2.6,1.7,1.2,1.1
Alachua County,Florida,TRUE,2013,131141,5.1,5.4,3.9,8.6,17.2,7.9,6,4.5,5.6,5.1,5.8,5.9,5.8,4.3,2.9,1.9,1.9,2,122310,6.1,5,5,8.1,17.4,8.6,7.4,3.6,6.5,5.2,5.5,6.1,4.7,4,2.5,1.5,1.2,1.6
Bay County,Florida,TRUE,2013,88301,5.8,6.1,5.7,5,6.7,7.4,6.9,5.3,6,6.9,8,6.6,6.6,5.6,3.5,2.9,2.2,2.9,86686,6.4,6.3,5.7,6.6,7.2,6.9,6.3,5.4,7.1,6.9,8.1,7.9,5.2,4.8,3.5,2.4,2.2,1
